group_k,group_l,epsilon_kl/kB [K],sigma_kl [Ang],sigma_kl [m],lambda_r_kl,lambda_a_kl,d_kl [Ang],d_kl [m],C_kl (Mie prefactor),a1_kl [K.m3],source_eps,source_sigma,source_lambda_r,source_lambda_a
NH2_2nd,NH2_2nd,284.7837,3.247740,3.247740e-10,10.2538,6.0000,3.160447,3.160447e-10,5.133113,-1.634140e+03,self,self,self,self
NH2_2nd,NH_2nd,168.7573,3.252266,3.252266e-10,14.1044,6.0000,3.139572,3.139572e-10,3.276808,-7.804999e+02,CR,CR,CR,CR
NH2_2nd,N_2nd,133.7651,3.161614,3.161614e-10,9.5403,6.0000,2.981847,2.981847e-10,5.913748,-7.454922e+02,CR,CR,CR,CR
NH2_2nd,CH3,244.1495,3.662498,3.662498e-10,12.3492,6.0000,3.583259,3.583259e-10,3.847404,-1.262336e+03,database,CR,CR,CR
NH2_2nd,CH2,348.3900,4.063910,4.063910e-10,14.0625,6.0000,4.017945,4.017945e-10,3.287573,-1.712672e+03,database,CR,CR,CR
NH2_2nd,CH,151.0092,4.271370,4.271370e-10,9.0224,6.0000,4.019385,4.019385e-10,6.709490,-8.811743e+02,CR,CR,CR,CR
NH2_2nd,C,106.4887,4.452420,4.452420e-10,9.0224,6.0000,4.134872,4.134872e-10,6.709490,-5.820226e+02,CR,CR,CR,CR
NH2_2nd,CH2OH,340.2563,3.326570,3.326570e-10,14.9538,6.0000,3.281446,3.281446e-10,3.079711,-1.623297e+03,CR,CR,CR,CR
NH2_2nd,CH2OH_Short,528.2123,3.326570,3.326570e-10,52.3049,6.0000,3.281446,3.281446e-10,1.495435,-1.715150e+03,database,CR,database,CR
NH2_2nd,NH2,284.7837,3.247740,3.247740e-10,10.2538,6.0000,3.160447,3.160447e-10,5.133113,-1.634140e+03,CR,CR,CR,CR
NH2_2nd,NH,168.7573,3.252266,3.252266e-10,14.1044,6.0000,3.139572,3.139572e-10,3.276808,-7.804999e+02,CR,CR,CR,CR
NH2_2nd,N,133.7651,3.161614,3.161614e-10,9.5403,6.0000,2.981847,2.981847e-10,5.913748,-7.454922e+02,CR,CR,CR,CR
NH2_2nd,CHOH,415.5400,3.892920,3.892920e-10,10.6430,6.0000,3.848176,3.848176e-10,4.807590,-2.360157e+03,database,CR,database,CR
NH2_2nd,OH_Short,339.0230,3.023770,3.023770e-10,14.3317,6.0000,2.978087,2.978087e-10,3.220211,-1.644733e+03,CR,CR,CR,CR
NH_2nd,NH_2nd,100.0029,3.256791,3.256791e-10,19.9990,6.0000,3.118697,3.118697e-10,2.393365,-3.546097e+02,self,self,self,self
NH_2nd,N_2nd,79.2576,3.166140,3.166140e-10,13.0122,6.0000,2.960972,2.960972e-10,3.598864,-3.039042e+02,CR,CR,CR,CR
NH_2nd,CH3,530.8688,3.667024,3.667024e-10,17.3121,6.0000,3.562384,3.562384e-10,2.684722,-2.273517e+03,database,CR,CR,CR
NH_2nd,CH2,394.5846,4.068436,4.068436e-10,19.9349,6.0000,3.997070,3.997070e-10,2.399043,-1.664120e+03,database,CR,CR,CR
NH_2nd,CH,89.5747,4.275896,4.275896e-10,12.2193,6.0000,3.998510,3.998510e-10,3.902197,-3.675975e+02,CR,CR,CR,CR
