group_k,group_l,epsilon_kl/kB [K],sigma_kl [Ang],sigma_kl [m],lambda_r_kl,lambda_a_kl,d_kl [Ang],d_kl [m],C_kl (Mie prefactor),a1_kl [K.m3],source_eps,source_sigma,source_lambda_r,source_lambda_a
N_2nd,N_2nd,62.9706,3.075488,3.075488e-10,8.8971,6.0000,2.803247,2.803247e-10,6.944421,-3.029651e+02,self,self,self,self
N_2nd,CH3,462.1767,3.576373,3.576373e-10,11.4296,6.0000,3.404659,3.404659e-10,4.290851,-2.301942e+03,database,CR,CR,CR
N_2nd,CH2,348.3000,3.977785,3.977785e-10,12.9745,6.0000,3.839345,3.839345e-10,3.611764,-1.689911e+03,database,CR,CR,CR
N_2nd,CH,69.5590,4.185244,4.185244e-10,8.4300,6.0000,3.840785,3.840785e-10,8.032436,-3.854470e+02,CR,CR,CR,CR
N_2nd,C,48.9287,4.366294,4.366294e-10,8.4300,6.0000,3.956272,3.956272e-10,8.032436,-2.437781e+02,CR,CR,CR,CR
N_2nd,CH2OH,159.5119,3.240444,3.240444e-10,13.7781,6.0000,3.102846,3.102846e-10,3.363727,-7.180217e+02,CR,CR,CR,CR
N_2nd,CH2OH_Short,440.9900,3.240444,3.240444e-10,13.7781,6.0000,3.102846,3.102846e-10,3.363727,-1.985058e+03,database,CR,CR,CR
N_2nd,NH2,133.7651,3.161614,3.161614e-10,9.5403,6.0000,2.981847,2.981847e-10,5.913748,-7.454922e+02,CR,CR,CR,CR
N_2nd,NH,79.2576,3.166140,3.166140e-10,13.0122,6.0000,2.960972,2.960972e-10,3.598864,-3.039042e+02,CR,CR,CR,CR
N_2nd,N,62.9706,3.075488,3.075488e-10,8.8971,6.0000,2.803247,2.803247e-10,6.944421,-3.029651e+02,CR,CR,CR,CR
N_2nd,OH,160.2065,2.937244,2.937244e-10,13.2171,6.0000,2.799087,2.799087e-10,3.531141,-7.204088e+02,CR,CR,CR,CR
N_2nd,OH_Short,160.2096,2.937644,2.937644e-10,13.2171,6.0000,2.799487,2.799487e-10,3.531141,-7.204528e+02,CR,CR,CR,CR
N_2nd,cCH2,161.2212,3.930344,3.930344e-10,13.1255,6.0000,3.792354,3.792354e-10,3.560940,-7.759166e+02,CR,CR,CR,CR
N_2nd,cCH,186.5381,4.243544,4.243544e-10,8.4300,6.0000,4.091386,4.091386e-10,8.032436,-1.230688e+03,CR,CR,CR,CR
N_2nd,cNH,182.9785,4.028244,4.028244e-10,12.8615,6.0000,3.891577,3.891577e-10,3.651222,-8.953692e+02,CR,CR,CR,CR
N_2nd,cN,98.4774,3.843744,3.843744e-10,7.8582,6.0000,3.568777,3.568777e-10,10.105615,-6.390066e+02,CR,CR,CR,CR
N_2nd,cCHNH,184.1669,4.287744,4.287744e-10,9.0649,6.0000,4.139682,4.139682e-10,6.634159,-1.144542e+03,CR,CR,CR,CR
N_2nd,cCHN,201.0077,3.760458,3.760458e-10,8.4309,6.0000,3.611724,3.611724e-10,8.030056,-1.319467e+03,CR,CR,CR,CR
CH3,CH3,256.7662,4.077257,4.077257e-10,15.0498,6.0000,4.006071,4.006071e-10,3.059701,-1.213667e+03,self,self,self,self
CH3,CH2,350.7720,4.478669,4.478669e-10,17.2581,6.0000,4.440757,4.440757e-10,2.691953,-1.588935e+03,database,CR,CR,CR
CH3,CH,387.4800,4.686128,4.686128e-10,10.7620,6.0000,4.442197,4.442197e-10,4.718564,-1.983711e+03,database,CR,CR,CR
CH3,C,339.9100,4.867178,4.867178e-10,10.7620,6.0000,4.557684,4.557684e-10,4.718564,-1.613529e+03,database,CR,CR,CR
CH3,CH2OH,333.2020,3.741329,3.741329e-10,18.4068,6.0000,3.704259,3.704259e-10,2.551238,-1.471064e+03,database,CR,CR,CR
CH3,CH2OH_Short,333.2020,3.741329,3.741329e-10,18.4068,6.0000,3.704259,3.704259e-10,2.551238,-1.471064e+03,database,CR,CR,CR
CH3,NH2,244.1495,3.662498,3.662498e-10,12.3492,6.0000,3.583259,3.583259e-10,3.847404,-1.262336e+03,database,CR,CR,CR
CH3,NH,157.2429,3.667024,3.667024e-10,17.3121,6.0000,3.562384,3.562384e-10,2.684722,-6.734137e+02,CR,CR,CR,CR
CH3,N,462.1767,3.576373,3.576373e-10,11.4296,6.0000,3.404659,3.404659e-10,4.290851,-2.301942e+03,database,CR,CR,CR
CH3,OH,314.6680,3.438128,3.438129e-10,17.6050,6.0000,3.400500,3.400500e-10,2.646606,-1.410264e+03,database,CR,CR,CR
CH3,OH_Short,314.6680,3.438528,3.438528e-10,17.6050,6.0000,3.400899,3.400899e-10,2.646606,-1.410266e+03,database,CR,CR,CR
CH3,cCH2,335.9500,4.431228,4.431228e-10,17.4741,6.0000,4.393767,4.393767e-10,2.663410,-1.514703e+03,database,CR,CR,CR
CH3,cCH,690.1679,4.744429,4.744429e-10,10.7620,6.0000,4.692798,4.692798e-10,4.718564,-3.895008e+03,database,CR,CR,CR
CH3,cNH,583.7177,4.529129,4.529129e-10,17.0966,6.0000,4.492990,4.492990e-10,2.714011,-2.654919e+03,database,CR,CR,CR
CH3,cN,709.9995,4.344629,4.344629e-10,9.9447,6.0000,4.170189,4.170189e-10,5.436968,-4.054084e+03,database,CR,CR,CR
CH3,cCHNH,406.9651,4.788629,4.788629e-10,11.6695,6.0000,4.741094,4.741094e-10,4.161519,-2.195401e+03,database,CR,CR,CR
CH3,cCHN,761.7866,4.261343,4.261343e-10,10.7633,6.0000,4.213137,4.213137e-10,4.717669,-4.298306e+03,database,CR,CR,CR
CH2,CH2,473.3893,4.880081,4.880081e-10,19.8711,6.0000,4.875443,4.875443e-10,2.404751,-2.050754e+03,self,self,self,self
CH2,CH,506.2100,5.087540,5.087540e-10,12.1845,6.0000,4.876883,4.876883e-10,3.917243,-2.485960e+03,database,CR,CR,CR
CH2,C,300.0700,5.268591,5.268590e-10,12.1845,6.0000,4.992370,4.992370e-10,3.917243,-1.383255e+03,database,CR,CR,CR
CH2,CH2OH,423.1700,4.142741,4.142741e-10,21.2303,6.0000,4.138945,4.138945e-10,2.293245,-1.794358e+03,database,CR,CR,CR
CH2,CH2OH_Short,423.1700,4.142741,4.142741e-10,21.2303,6.0000,4.138945,4.138945e-10,2.293245,-1.794358e+03,database,CR,CR,CR
CH2,NH2,348.3891,4.063910,4.063910e-10,14.0625,6.0000,4.017945,4.017945e-10,3.287573,-1.712668e+03,database,CR,CR,CR
CH2,NH,394.5846,4.068436,4.068436e-10,19.9349,6.0000,3.997070,3.997070e-10,2.399043,-1.664120e+03,database,CR,CR,CR
CH2,N,348.3000,3.977785,3.977785e-10,12.9745,6.0000,3.839345,3.839345e-10,3.611764,-1.689911e+03,database,CR,CR,CR
CH2,OH,396.2700,3.839540,3.839540e-10,20.2815,6.0000,3.835186,3.835186e-10,2.368916,-1.705058e+03,database,CR,CR,CR
CH2,OH_Short,396.2700,3.839940,3.839940e-10,20.2815,6.0000,3.835585,3.835585e-10,2.368916,-1.705058e+03,database,CR,CR,CR
CH2,cCH2,469.6700,4.832641,4.832640e-10,20.1266,6.0000,4.828453,4.828453e-10,2.382206,-2.026130e+03,database,CR,CR,CR
CH2,cCH,522.5720,5.145840,5.145840e-10,12.1845,6.0000,5.127484,5.127484e-10,3.917243,-2.760293e+03,database,CR,CR,CR
CH2,cNH,429.4901,4.930540,4.930540e-10,19.6799,6.0000,4.927676,4.927676e-10,2.422149,-1.866747e+03,database,CR,CR,CR
CH2,cN,508.5420,4.746041,4.746041e-10,11.2173,6.0000,4.604875,4.604875e-10,4.415124,-2.737838e+03,database,CR,CR,CR
CH2,cCHNH,309.9482,5.190041,5.190041e-10,13.2582,6.0000,5.175780,5.175780e-10,3.518013,-1.571911e+03,database,CR,CR,CR
CH2,cCHN,893.4988,4.662755,4.662755e-10,12.1860,6.0000,4.647822,4.647822e-10,3.916612,-4.719292e+03,database,CR,CR,CR
CH,CH,95.6210,5.295000,5.295000e-10,8.0000,6.0000,4.878323,4.878323e-10,9.481481,-5.848623e+02,self,self,self,self
CH,C,2.0000,5.476050,5.476050e-10,8.0000,6.0000,4.993810,4.993810e-10,9.481481,-1.150273e+01,database,CR,CR,CR
CH,CH2OH,329.2200,4.350200,4.350200e-10,12.9245,6.0000,4.140385,4.140385e-10,3.629067,-1.492636e+03,database,CR,CR,CR
CH,CH2OH_Short,329.2200,4.350200,4.350200e-10,12.9245,6.0000,4.140385,4.140385e-10,3.629067,-1.492636e+03,database,CR,CR,CR
CH,NH2,151.0092,4.271370,4.271370e-10,9.0224,6.0000,4.019385,4.019385e-10,6.709490,-8.811743e+02,CR,CR,CR,CR
CH,NH,89.5747,4.275896,4.275896e-10,12.2193,6.0000,3.998510,3.998510e-10,3.902197,-3.675975e+02,CR,CR,CR,CR
CH,N,69.5590,4.185244,4.185244e-10,8.4300,6.0000,3.840785,3.840785e-10,8.032436,-3.854470e+02,CR,CR,CR,CR
CH,OH,198.0800,4.047000,4.047000e-10,12.4080,6.0000,3.836626,3.836626e-10,3.823312,-9.026561e+02,database,CR,CR,CR
CH,OH_Short,198.0800,4.047400,4.047400e-10,12.4080,6.0000,3.837025,3.837025e-10,3.823312,-9.026887e+02,database,CR,CR,CR
