group_k,group_l,epsilon_kl/kB [K],sigma_kl [Ang],sigma_kl [m],lambda_r_kl,lambda_a_kl,d_kl [Ang],d_kl [m],C_kl (Mie prefactor),a1_kl [K.m3],source_eps,source_sigma,source_lambda_r,source_lambda_a
OH,OH,410.3100,2.799000,2.799000e-10,20.7020,6.0000,2.794928,2.794928e-10,2.334217,-1.753551e+03,self,self,self,self
OH,OH_Short,410.3095,2.799400,2.799400e-10,20.7020,6.0000,2.795327,2.795327e-10,2.334217,-1.753548e+03,CR,CR,CR,CR
OH,cCH2,376.5700,3.792100,3.792100e-10,20.5433,6.0000,3.788195,3.788195e-10,2.347087,-1.613603e+03,database,CR,CR,CR
OH,cCH,456.6037,4.105300,4.105300e-10,12.4080,6.0000,4.087227,4.087227e-10,3.823312,-2.389952e+03,CR,CR,CR,CR
OH,cNH,450.3177,3.890000,3.890000e-10,20.0857,6.0000,3.887418,3.887418e-10,2.385758,-1.944050e+03,CR,CR,CR,CR
OH,cN,243.6016,3.705500,3.705500e-10,11.4173,6.0000,3.564618,3.564618e-10,4.297824,-1.266956e+03,CR,CR,CR,CR
OH,cCHNH,450.3304,4.149500,4.149500e-10,13.5078,6.0000,4.135522,4.135522e-10,3.441317,-2.264258e+03,CR,CR,CR,CR
OH,cCHN,498.4632,3.622214,3.622214e-10,12.4095,6.0000,3.607565,3.607565e-10,3.822709,-2.608981e+03,CR,CR,CR,CR
OH_Short,OH_Short,410.3090,2.799800,2.799800e-10,20.7020,6.0000,2.795727,2.795727e-10,2.334217,-1.753546e+03,self,self,self,self
OH_Short,cCH2,397.8720,3.792500,3.792500e-10,20.5433,6.0000,3.788594,3.788594e-10,2.347087,-1.704882e+03,CR,CR,CR,CR
OH_Short,cCH,456.6654,4.105700,4.105700e-10,12.4080,6.0000,4.087626,4.087626e-10,3.823312,-2.390275e+03,CR,CR,CR,CR
OH_Short,cNH,450.3713,3.890400,3.890400e-10,20.0857,6.0000,3.887817,3.887817e-10,2.385758,-1.944281e+03,CR,CR,CR,CR
OH_Short,cN,243.6269,3.705900,3.705900e-10,11.4173,6.0000,3.565017,3.565017e-10,4.297824,-1.267104e+03,CR,CR,CR,CR
OH_Short,cCHNH,450.3927,4.149900,4.149900e-10,13.5078,6.0000,4.135922,4.135922e-10,3.441317,-2.264571e+03,CR,CR,CR,CR
OH_Short,cCHN,498.5111,3.622614,3.622614e-10,12.4095,6.0000,3.607964,3.607964e-10,3.822709,-2.609232e+03,CR,CR,CR,CR
cCH2,cCH2,477.3620,4.785200,4.785200e-10,20.3860,6.0000,4.781462,4.781462e-10,2.360112,-2.050760e+03,self,self,self,self
cCH2,cCH,321.7053,5.098400,5.098400e-10,12.3236,6.0000,5.080494,5.080494e-10,3.858000,-1.689672e+03,database,CR,CR,CR
cCH2,cNH,605.4529,4.883100,4.883100e-10,19.9326,6.0000,4.880685,4.880685e-10,2.399254,-2.620490e+03,database,CR,CR,CR
cCH2,cN,536.6580,4.698600,4.698600e-10,11.3418,6.0000,4.557885,4.557885e-10,4.341082,-2.867888e+03,database,CR,CR,CR
cCH2,cCHNH,486.8825,5.142600,5.142600e-10,13.4136,6.0000,5.128789,5.128789e-10,3.469671,-2.456054e+03,database,CR,CR,CR
cCH2,cCHN,750.0597,4.615314,4.615314e-10,12.3251,6.0000,4.600832,4.600832e-10,3.857386,-3.939272e+03,database,CR,CR,CR
cCH,cCH,699.9232,5.411600,5.411600e-10,8.0000,6.0000,5.379525,5.379525e-10,9.481481,-4.855194e+03,self,self,self,self
cCH,cNH,663.3436,5.196300,5.196300e-10,12.0805,6.0000,5.179717,5.179717e-10,3.963307,-3.519060e+03,CR,CR,CR,CR
cCH,cN,345.6947,5.011800,5.011800e-10,7.4735,6.0000,4.856916,4.856916e-10,12.403147,-2.564273e+03,CR,CR,CR,CR
cCH,cCHNH,695.6593,5.455800,5.455800e-10,8.5845,6.0000,5.427821,5.427821e-10,7.629222,-4.560167e+03,CR,CR,CR,CR
cCH,cCHN,694.8015,4.928514,4.928514e-10,8.0008,6.0000,4.899864,4.899864e-10,9.478251,-4.818922e+03,CR,CR,CR,CR
cNH,cNH,631.9247,4.981000,4.981000e-10,19.4909,6.0000,4.979908,4.979908e-10,2.439818,-2.755701e+03,self,self,self,self
cNH,cN,812.2646,4.796500,4.796500e-10,11.1242,6.0000,4.657108,4.657108e-10,4.472835,-4.402525e+03,database,CR,CR,CR
cNH,cCHNH,658.6391,5.240500,5.240500e-10,13.1420,6.0000,5.228012,5.228012e-10,3.555526,-3.354039e+03,CR,CR,CR,CR
cNH,cCHN,666.5780,4.713214,4.713214e-10,12.0819,6.0000,4.700055,4.700055e-10,3.962662,-3.535947e+03,CR,CR,CR,CR
cN,cN,174.0414,4.612000,4.612000e-10,7.0024,6.0000,4.334307,4.334307e-10,17.612296,-1.352424e+03,self,self,self,self
cN,cCHNH,342.9235,5.056000,5.056000e-10,7.9965,6.0000,4.905212,4.905212e-10,9.496008,-2.384819e+03,CR,CR,CR,CR
cN,cCHN,351.3424,4.528714,4.528714e-10,7.4742,6.0000,4.377254,4.377254e-10,12.397830,-2.603638e+03,CR,CR,CR,CR
cCHNH,cCHNH,691.5576,5.500000,5.500000e-10,9.2374,6.0000,5.476116,5.476116e-10,6.348430,-4.298186e+03,self,self,self,self
cCHNH,cCHN,688.9263,4.972714,4.972714e-10,8.5854,6.0000,4.948159,4.948159e-10,7.627057,-4.515236e+03,CR,CR,CR,CR
cCHN,cCHN,709.9852,4.445428,4.445428e-10,8.0016,6.0000,4.420202,4.420202e-10,9.475022,-4.923390e+03,self,self,self,self
