Group_k,Group_l,a1_kl [K.m^3],Delta_kl [m^3],eps_kl/kB [K],sigma_kl [A],d_kl [A],lambda_r_kl,lambda_a_kl
CH2,OH_Short,-1.705058e+03,0.000000e+00,396.2700,3.8399,3.8356,20.2815,6.0000
CH,CH,-5.848623e+02,0.000000e+00,95.6210,5.2950,4.8783,8.0000,6.0000
CH,C,-1.150273e+01,0.000000e+00,2.0000,5.4760,4.9938,8.0000,6.0000
CH,CH2OH,-1.492636e+03,0.000000e+00,329.2200,4.3502,4.1404,12.9245,6.0000
CH,CH2OH_Short,-1.492636e+03,0.000000e+00,329.2200,4.3502,4.1404,12.9245,6.0000
CH,NH2,-8.811743e+02,0.000000e+00,151.0092,4.2714,4.0194,9.0224,6.0000
CH,NH,-3.675975e+02,0.000000e+00,89.5747,4.2759,3.9985,12.2193,6.0000
CH,N,-3.854470e+02,0.000000e+00,69.5590,4.1852,3.8408,8.4300,6.0000
CH,CHOH,-1.191332e+03,0.000000e+00,237.3328,4.9165,4.7071,11.7135,6.0000
CH,OH_Short,-9.026887e+02,0.000000e+00,198.0800,4.0474,3.8370,12.4080,6.0000
C,C,-2.664177e+02,0.000000e+00,50.0200,5.6571,5.1093,8.0000,6.0000
C,CH2OH,-5.263613e+02,0.000000e+00,129.7106,4.5312,4.2559,12.9245,6.0000
C,CH2OH_Short,-5.263613e+02,0.000000e+00,129.7106,4.5312,4.2559,12.9245,6.0000
C,NH2,-5.820226e+02,0.000000e+00,106.4887,4.4524,4.1349,9.0224,6.0000
C,NH,-2.165423e+02,0.000000e+00,63.1745,4.4569,4.1140,12.2193,6.0000
C,N,-2.437781e+02,0.000000e+00,48.9287,4.3663,3.9563,8.4300,6.0000
C,CHOH,-8.014922e+02,0.000000e+00,170.0705,5.0976,4.8226,11.7135,6.0000
C,OH_Short,-4.798641e+02,0.000000e+00,119.4442,4.2284,3.9525,12.4080,6.0000
CH2OH,CH2OH,-1.691398e+03,5.405249e-25,407.2200,3.4054,3.4024,22.6990,6.0000
CH2OH,CH2OH_Short,-1.691398e+03,2.702679e-25,407.2200,3.4054,3.4024,22.6990,6.0000
CH2OH,NH2,-1.715141e+03,3.321643e-25,528.2100,3.3266,3.2814,52.3050,6.0000
CH2OH,NH,-1.271960e+03,3.623243e-25,313.2500,3.3311,3.2606,21.2993,6.0000
CH2OH,N,-1.985058e+03,5.647844e-26,440.9900,3.2404,3.1028,13.7781,6.0000
CH2OH,CHOH,-1.674633e+03,9.279056e-25,389.2300,3.9718,3.9692,20.2954,6.0000
CH2OH,OH_Short,-1.697363e+03,2.803265e-25,402.9354,3.1026,3.0991,21.6738,6.0000
CH2OH_Short,CH2OH_Short,-1.691398e+03,5.405467e-25,407.2200,3.4054,3.4024,22.6990,6.0000
CH2OH_Short,NH2,-1.623297e+03,1.677088e-25,340.2563,3.3266,3.2814,14.9538,6.0000
CH2OH_Short,NH,-8.188021e+02,5.775200e-26,201.6493,3.3311,3.2606,21.2993,6.0000
CH2OH_Short,N,-7.180217e+02,0.000000e+00,159.5119,3.2404,3.1028,13.7781,6.0000
CH2OH_Short,CHOH,-1.674633e+03,9.279056e-25,389.2300,3.9718,3.9692,20.2954,6.0000
CH2OH_Short,OH_Short,-1.697363e+03,5.606644e-25,402.9354,3.1026,3.0991,21.6738,6.0000
NH2,NH2,-1.634140e+03,2.230707e-26,284.7837,3.2477,3.1604,10.2538,6.0000
NH2,NH,-1.766633e+03,5.930310e-26,381.9759,3.2523,3.1396,14.1044,6.0000
NH2,N,-7.454922e+02,0.000000e+00,133.7651,3.1616,2.9818,9.5403,6.0000
NH2,CHOH,-2.360157e+03,3.968588e-25,415.5400,3.8929,3.8482,10.6430,6.0000
NH2,OH_Short,-1.173761e+03,2.511401e-25,241.9434,3.0238,2.9781,14.3317,6.0000
NH,NH,-3.546097e+02,3.010565e-27,100.0029,3.2568,3.1187,19.9990,6.0000
NH,N,-3.039042e+02,0.000000e+00,79.2576,3.1661,2.9610,13.0122,6.0000
NH,CHOH,-1.006529e+03,3.114970e-26,235.0253,3.8974,3.8273,19.0664,6.0000
NH,OH_Short,-7.715565e+02,2.783241e-25,188.6078,3.0283,2.9572,20.3469,6.0000
N,N,-3.029651e+02,0.000000e+00,62.9706,3.0755,2.8032,8.8971,6.0000
N,CHOH,-9.088852e+02,0.000000e+00,183.6646,3.8068,3.6696,12.4629,6.0000
N,OH_Short,-1.173657e+03,1.671996e-25,260.9902,2.9376,2.7995,13.2171,6.0000
CHOH,CHOH,-2.678071e+03,2.660553e-25,599.6600,4.5381,4.5359,18.1850,6.0000
CHOH,OH_Short,-1.986596e+03,2.226007e-25,454.8669,3.6690,3.6658,19.3953,6.0000
OH_Short,OH_Short,-1.753546e+03,5.813658e-25,410.3090,2.7998,2.7957,20.7020,6.0000
