Group_k,Group_l,eps_kl/kB [K],sigma_kl [A],d_kl [A],lambda_r_kl,lambda_a_kl,C_kl (Mie prefactor),source_eps,source_sigma,source_lambdaR,source_lambdaA
CH3,CH2,350.7720,4.4787,4.4408,17.2581,6.0000,2.691953,database,CR,CR,CR
CH3,CH,387.4800,4.6861,4.4422,10.7620,6.0000,4.718564,database,CR,CR,CR
CH3,C,339.9100,4.8672,4.5577,10.7620,6.0000,4.718564,database,CR,CR,CR
CH3,CH2OH,333.2020,3.7413,3.7043,18.4068,6.0000,2.551238,database,CR,CR,CR
CH3,CH2OH_Short,333.2020,3.7413,3.7043,18.4068,6.0000,2.551238,database,CR,CR,CR
CH3,NH2,244.1495,3.6625,3.5833,12.3492,6.0000,3.847404,database,CR,CR,CR
CH3,NH,157.2429,3.6670,3.5624,17.3121,6.0000,2.684722,CR,CR,CR,CR
CH3,N,462.1767,3.5764,3.4047,11.4296,6.0000,4.290851,database,CR,CR,CR
CH3,OH,314.6680,3.4381,3.4005,17.6050,6.0000,2.646606,database,CR,CR,CR
CH3,OH_Short,314.6680,3.4385,3.4009,17.6050,6.0000,2.646606,database,CR,CR,CR
CH3,cCH2,335.9500,4.4312,4.3938,17.4741,6.0000,2.663410,database,CR,CR,CR
CH3,cCH,690.1679,4.7444,4.6928,10.7620,6.0000,4.718564,database,CR,CR,CR
CH3,cNH,583.7177,4.5291,4.4930,17.0966,6.0000,2.714011,database,CR,CR,CR
CH3,cN,709.9995,4.3446,4.1702,9.9447,6.0000,5.436968,database,CR,CR,CR
CH3,cCHNH,406.9651,4.7886,4.7411,11.6695,6.0000,4.161519,database,CR,CR,CR
CH3,cCHN,761.7866,4.2613,4.2131,10.7633,6.0000,4.717669,database,CR,CR,CR
CH2,CH2,473.3893,4.8801,4.8754,19.8711,6.0000,2.404751,self,self,self,self
CH2,CH,506.2100,5.0875,4.8769,12.1845,6.0000,3.917243,database,CR,CR,CR
CH2,C,300.0700,5.2686,4.9924,12.1845,6.0000,3.917243,database,CR,CR,CR
CH2,CH2OH,423.1700,4.1427,4.1389,21.2303,6.0000,2.293245,database,CR,CR,CR
CH2,CH2OH_Short,423.1700,4.1427,4.1389,21.2303,6.0000,2.293245,database,CR,CR,CR
CH2,NH2,348.3891,4.0639,4.0179,14.0625,6.0000,3.287573,database,CR,CR,CR
CH2,NH,394.5846,4.0684,3.9971,19.9349,6.0000,2.399043,database,CR,CR,CR
CH2,N,348.3000,3.9778,3.8393,12.9745,6.0000,3.611764,database,CR,CR,CR
CH2,OH,396.2700,3.8395,3.8352,20.2815,6.0000,2.368916,database,CR,CR,CR
CH2,OH_Short,396.2700,3.8399,3.8356,20.2815,6.0000,2.368916,database,CR,CR,CR
CH2,cCH2,469.6700,4.8326,4.8285,20.1266,6.0000,2.382206,database,CR,CR,CR
CH2,cCH,522.5720,5.1458,5.1275,12.1845,6.0000,3.917243,database,CR,CR,CR
CH2,cNH,429.4901,4.9305,4.9277,19.6799,6.0000,2.422149,database,CR,CR,CR
CH2,cN,508.5420,4.7460,4.6049,11.2173,6.0000,4.415124,database,CR,CR,CR
CH2,cCHNH,309.9482,5.1900,5.1758,13.2582,6.0000,3.518013,database,CR,CR,CR
CH2,cCHN,893.4988,4.6628,4.6478,12.1860,6.0000,3.916612,database,CR,CR,CR
CH,CH,95.6210,5.2950,4.8783,8.0000,6.0000,9.481481,self,self,self,self
CH,C,2.0000,5.4760,4.9938,8.0000,6.0000,9.481481,database,CR,CR,CR
CH,CH2OH,329.2200,4.3502,4.1404,12.9245,6.0000,3.629067,database,CR,CR,CR
CH,CH2OH_Short,329.2200,4.3502,4.1404,12.9245,6.0000,3.629067,database,CR,CR,CR
CH,NH2,151.0092,4.2714,4.0194,9.0224,6.0000,6.709490,CR,CR,CR,CR
CH,NH,89.5747,4.2759,3.9985,12.2193,6.0000,3.902197,CR,CR,CR,CR
CH,N,69.5590,4.1852,3.8408,8.4300,6.0000,8.032436,CR,CR,CR,CR
CH,OH,198.0800,4.0470,3.8366,12.4080,6.0000,3.823312,database,CR,CR,CR
CH,OH_Short,198.0800,4.0474,3.8370,12.4080,6.0000,3.823312,database,CR,CR,CR
CH,cCH2,570.4500,5.0401,4.8299,12.3236,6.0000,3.858000,database,CR,CR,CR
CH,cCH,258.6572,5.3533,5.1289,8.0000,6.0000,9.481481,CR,CR,CR,CR
CH,cNH,245.4713,5.1380,4.9291,12.0805,6.0000,3.963307,CR,CR,CR,CR
CH,cN,128.0853,4.9535,4.6063,7.4735,6.0000,12.403147,CR,CR,CR,CR
CH,cCHNH,257.0134,5.3975,5.1772,8.5845,6.0000,7.629222,CR,CR,CR,CR
CH,cCHN,257.5885,4.8702,4.6493,8.0008,6.0000,9.478251,CR,CR,CR,CR
C,C,50.0200,5.6571,5.1093,8.0000,6.0000,9.481481,self,self,self,self
C,CH2OH,129.7106,4.5312,4.2559,12.9245,6.0000,3.629067,CR,CR,CR,CR
C,CH2OH_Short,129.7106,4.5312,4.2559,12.9245,6.0000,3.629067,CR,CR,CR,CR
C,NH2,106.4887,4.4524,4.1349,9.0224,6.0000,6.709490,CR,CR,CR,CR
C,NH,63.1745,4.4569,4.1140,12.2193,6.0000,3.902197,CR,CR,CR,CR
C,N,48.9287,4.3663,3.9563,8.4300,6.0000,8.032436,CR,CR,CR,CR
C,OH,119.4270,4.2280,3.9521,12.4080,6.0000,3.823312,CR,CR,CR,CR
C,OH_Short,119.4442,4.2284,3.9525,12.4080,6.0000,3.823312,CR,CR,CR,CR
C,cCH2,152.9108,5.2211,4.9454,12.3236,6.0000,3.858000,CR,CR,CR,CR
C,cCH,186.9720,5.5343,5.2444,8.0000,6.0000,9.481481,CR,CR,CR,CR
C,cNH,176.7127,5.3190,5.0446,12.0805,6.0000,3.963307,CR,CR,CR,CR
C,cN,91.8577,5.1346,4.7218,7.4735,6.0000,12.403147,CR,CR,CR,CR
C,cCHNH,185.9332,5.5786,5.2927,8.5845,6.0000,7.629222,CR,CR,CR,CR
C,cCHN,184.3985,5.0513,4.7647,8.0008,6.0000,9.478251,CR,CR,CR,CR
CH2OH,CH2OH,407.2200,3.4054,3.4024,22.6990,6.0000,2.192509,self,self,self,self
CH2OH,CH2OH_Short,407.2200,3.4054,3.4024,22.6990,6.0000,2.192509,CR,CR,CR,CR
CH2OH,NH2,528.2100,3.3266,3.2814,52.3050,6.0000,1.495434,database,CR,database,CR
CH2OH,NH,313.2500,3.3311,3.2606,21.2993,6.0000,2.288096,database,CR,CR,CR
CH2OH,N,440.9900,3.2404,3.1028,13.7781,6.0000,3.363727,database,CR,CR,CR
CH2OH,OH,402.9190,3.1022,3.0987,21.6738,6.0000,2.260906,CR,CR,CR,CR
CH2OH,OH_Short,402.9354,3.1026,3.0991,21.6738,6.0000,2.260906,CR,CR,CR,CR
CH2OH,cCH2,422.2636,4.0953,4.0920,21.5064,6.0000,2.272903,CR,CR,CR,CR
CH2OH,cCH,492.9558,4.4085,4.3910,12.9245,6.0000,3.629067,CR,CR,CR,CR
CH2OH,cNH,480.6594,4.1932,4.1912,21.0237,6.0000,2.308933,CR,CR,CR,CR
CH2OH,cN,257.2269,4.0087,3.8684,11.8794,6.0000,4.056869,CR,CR,CR,CR
CH2OH,cCHNH,487.2531,4.4527,4.4393,14.0847,6.0000,3.281853,CR,CR,CR,CR
CH2OH,cCHN,523.6069,3.9254,3.9113,12.9260,6.0000,3.628520,CR,CR,CR,CR
CH2OH_Short,CH2OH_Short,407.2200,3.4054,3.4024,22.6990,6.0000,2.192509,self,self,self,self
CH2OH_Short,NH2,340.2563,3.3266,3.2814,14.9538,6.0000,3.079711,CR,CR,CR,CR
CH2OH_Short,NH,201.6493,3.3311,3.2606,21.2993,6.0000,2.288096,CR,CR,CR,CR
CH2OH_Short,N,159.5119,3.2404,3.1028,13.7781,6.0000,3.363727,CR,CR,CR,CR
CH2OH_Short,OH,402.9190,3.1022,3.0987,21.6738,6.0000,2.260906,CR,CR,CR,CR
CH2OH_Short,OH_Short,402.9354,3.1026,3.0991,21.6738,6.0000,2.260906,CR,CR,CR,CR
CH2OH_Short,cCH2,422.2636,4.0953,4.0920,21.5064,6.0000,2.272903,CR,CR,CR,CR
CH2OH_Short,cCH,492.9558,4.4085,4.3910,12.9245,6.0000,3.629067,CR,CR,CR,CR
CH2OH_Short,cNH,480.6594,4.1932,4.1912,21.0237,6.0000,2.308933,CR,CR,CR,CR
CH2OH_Short,cN,257.2269,4.0087,3.8684,11.8794,6.0000,4.056869,CR,CR,CR,CR
CH2OH_Short,cCHNH,487.2531,4.4527,4.4393,14.0847,6.0000,3.281853,CR,CR,CR,CR
CH2OH_Short,cCHN,523.6069,3.9254,3.9113,12.9260,6.0000,3.628520,CR,CR,CR,CR
NH2,NH2,284.7837,3.2477,3.1604,10.2538,6.0000,5.133113,self,self,self,self
NH2,NH,381.9759,3.2523,3.1396,14.1044,6.0000,3.276808,database,CR,CR,CR
NH2,N,133.7651,3.1616,2.9818,9.5403,6.0000,5.913748,CR,CR,CR,CR
NH2,OH,241.9400,3.0234,2.9777,14.3317,6.0000,3.220211,database,CR,CR,CR
NH2,OH_Short,241.9434,3.0238,2.9781,14.3317,6.0000,3.220211,database,CR,CR,CR
NH2,cCH2,332.1468,4.0165,3.9710,14.2301,6.0000,3.245131,database,CR,CR,CR
