Group_k,Group_l,eps_kl/kB [K],sigma_kl [A],d_kl [A],lambda_r_kl,lambda_a_kl,C_kl (Mie prefactor),source_eps,source_sigma,source_lambdaR,source_lambdaA
CH,CH,95.6210,5.2950,4.8783,8.0000,6.0000,9.481481,self,self,self,self
CH,C,2.0000,5.4760,4.9938,8.0000,6.0000,9.481481,database,CR,CR,CR
CH,CH2OH,329.2200,4.3502,4.1404,12.9245,6.0000,3.629067,database,CR,CR,CR
CH,CH2OH_Short,329.2200,4.3502,4.1404,12.9245,6.0000,3.629067,database,CR,CR,CR
CH,NH2,151.0092,4.2714,4.0194,9.0224,6.0000,6.709490,CR,CR,CR,CR
CH,NH,89.5747,4.2759,3.9985,12.2193,6.0000,3.902197,CR,CR,CR,CR
CH,N,69.5590,4.1852,3.8408,8.4300,6.0000,8.032436,CR,CR,CR,CR
CH,CHOH,237.3328,4.9165,4.7071,11.7135,6.0000,4.138937,CR,CR,CR,CR
CH,OH_Short,198.0800,4.0474,3.8370,12.4080,6.0000,3.823312,database,CR,CR,CR
C,C,50.0200,5.6571,5.1093,8.0000,6.0000,9.481481,self,self,self,self
C,CH2OH,129.7106,4.5312,4.2559,12.9245,6.0000,3.629067,CR,CR,CR,CR
C,CH2OH_Short,129.7106,4.5312,4.2559,12.9245,6.0000,3.629067,CR,CR,CR,CR
C,NH2,106.4887,4.4524,4.1349,9.0224,6.0000,6.709490,CR,CR,CR,CR
C,NH,63.1745,4.4569,4.1140,12.2193,6.0000,3.902197,CR,CR,CR,CR
C,N,48.9287,4.3663,3.9563,8.4300,6.0000,8.032436,CR,CR,CR,CR
C,CHOH,170.0705,5.0976,4.8226,11.7135,6.0000,4.138937,CR,CR,CR,CR
C,OH_Short,119.4442,4.2284,3.9525,12.4080,6.0000,3.823312,CR,CR,CR,CR
CH2OH,CH2OH,407.2200,3.4054,3.4024,22.6990,6.0000,2.192509,self,self,self,self
CH2OH,CH2OH_Short,407.2200,3.4054,3.4024,22.6990,6.0000,2.192509,CR,CR,CR,CR
CH2OH,NH2,528.2100,3.3266,3.2814,52.3050,6.0000,1.495434,database,CR,database,CR
CH2OH,NH,313.2500,3.3311,3.2606,21.2993,6.0000,2.288096,database,CR,CR,CR
CH2OH,N,440.9900,3.2404,3.1028,13.7781,6.0000,3.363727,database,CR,CR,CR
CH2OH,CHOH,389.2300,3.9718,3.9692,20.2954,6.0000,2.367745,database,CR,CR,CR
CH2OH,OH_Short,402.9354,3.1026,3.0991,21.6738,6.0000,2.260906,CR,CR,CR,CR
CH2OH_Short,CH2OH_Short,407.2200,3.4054,3.4024,22.6990,6.0000,2.192509,self,self,self,self
CH2OH_Short,NH2,340.2563,3.3266,3.2814,14.9538,6.0000,3.079711,CR,CR,CR,CR
CH2OH_Short,NH,201.6493,3.3311,3.2606,21.2993,6.0000,2.288096,CR,CR,CR,CR
CH2OH_Short,N,159.5119,3.2404,3.1028,13.7781,6.0000,3.363727,CR,CR,CR,CR
CH2OH_Short,CHOH,389.2300,3.9718,3.9692,20.2954,6.0000,2.367745,database,CR,CR,CR
CH2OH_Short,OH_Short,402.9354,3.1026,3.0991,21.6738,6.0000,2.260906,CR,CR,CR,CR
NH2,NH2,284.7837,3.2477,3.1604,10.2538,6.0000,5.133113,self,self,self,self
NH2,NH,381.9759,3.2523,3.1396,14.1044,6.0000,3.276808,database,CR,CR,CR
NH2,N,133.7651,3.1616,2.9818,9.5403,6.0000,5.913748,CR,CR,CR,CR
NH2,CHOH,415.5400,3.8929,3.8482,10.6430,6.0000,4.807590,database,CR,database,CR
NH2,OH_Short,241.9434,3.0238,2.9781,14.3317,6.0000,3.220211,database,CR,CR,CR
NH,NH,100.0029,3.2568,3.1187,19.9990,6.0000,2.393365,self,self,self,self
NH,N,79.2576,3.1661,2.9610,13.0122,6.0000,3.598864,CR,CR,CR,CR
NH,CHOH,235.0253,3.8974,3.8273,19.0664,6.0000,2.481311,CR,CR,CR,CR
NH,OH_Short,188.6078,3.0283,2.9572,20.3469,6.0000,2.363390,database,CR,CR,CR
N,N,62.9706,3.0755,2.8032,8.8971,6.0000,6.944421,self,self,self,self
N,CHOH,183.6646,3.8068,3.6696,12.4629,6.0000,3.801189,CR,CR,CR,CR
N,OH_Short,260.9902,2.9376,2.7995,13.2171,6.0000,3.531141,database,CR,CR,CR
CHOH,CHOH,599.6600,4.5381,4.5359,18.1850,6.0000,2.576399,self,self,self,self
CHOH,OH_Short,454.8669,3.6690,3.6658,19.3953,6.0000,2.448946,CR,CR,CR,CR
OH_Short,OH_Short,410.3090,2.7998,2.7957,20.7020,6.0000,2.334217,self,self,self,self
