Group_k,Group_l,a1_kl [K.m^3],Delta_kl [m^3],eps_kl/kB [K],sigma_kl [A],d_kl [A],lambda_r_kl,lambda_a_kl
CH3,CH2,-1.588935e+03,0.000000e+00,350.7720,4.4787,4.4408,17.2581,6.0000
CH3,CH,-1.983711e+03,0.000000e+00,387.4800,4.6861,4.4422,10.7620,6.0000
CH3,C,-1.613529e+03,0.000000e+00,339.9100,4.8672,4.5577,10.7620,6.0000
CH3,CH2OH,-1.471064e+03,0.000000e+00,333.2020,3.7413,3.7043,18.4068,6.0000
CH3,CH2OH_Short,-1.471064e+03,0.000000e+00,333.2020,3.7413,3.7043,18.4068,6.0000
CH3,NH2,-1.262336e+03,0.000000e+00,244.1495,3.6625,3.5833,12.3492,6.0000
CH3,NH,-6.734137e+02,0.000000e+00,157.2429,3.6670,3.5624,17.3121,6.0000
CH3,N,-2.301942e+03,0.000000e+00,462.1767,3.5764,3.4047,11.4296,6.0000
CH3,OH,-1.410264e+03,0.000000e+00,314.6680,3.4381,3.4005,17.6050,6.0000
CH3,OH_Short,-1.410266e+03,0.000000e+00,314.6680,3.4385,3.4009,17.6050,6.0000
CH3,cCH2,-1.514703e+03,0.000000e+00,335.9500,4.4312,4.3938,17.4741,6.0000
CH3,cCH,-3.895008e+03,0.000000e+00,690.1679,4.7444,4.6928,10.7620,6.0000
CH3,cNH,-2.654919e+03,0.000000e+00,583.7177,4.5291,4.4930,17.0966,6.0000
CH3,cN,-4.054084e+03,0.000000e+00,709.9995,4.3446,4.1702,9.9447,6.0000
CH3,cCHNH,-2.195401e+03,0.000000e+00,406.9651,4.7886,4.7411,11.6695,6.0000
CH3,cCHN,-4.298306e+03,0.000000e+00,761.7866,4.2613,4.2131,10.7633,6.0000
CH2,CH2,-2.050754e+03,0.000000e+00,473.3893,4.8801,4.8754,19.8711,6.0000
CH2,CH,-2.485960e+03,0.000000e+00,506.2100,5.0875,4.8769,12.1845,6.0000
